text,label
"Twin Bus Blasts in Southern Israel Kill 12 JERUSALEM - Two buses exploded almost simultaneously in southern Israel on Tuesday, killing at least 12 people and wounding 44, rescue officials said, in the first major Palestinian attack inside Israel in nearly six months.    Israel's Channel Two television said the blasts were carried out by Palestinian suicide bombers, but the report could not immediately be confirmed...",Politics
"Youzhny Upsets Paradorn to Reach Beijing Final  BEIJING (Reuters) - Russian Mikhail Youzhny upset sixth  seed Paradorn Srichaphan 6-4, 6-4 on Saturday to reach the  final of the China Open.",Sport
"Bush Campaign Trail Stops at White House (AP) AP - Enmeshed in his re-election campaign, President Bush rarely spends a full day at the White House. But even when he does, presidential politics and campaign pitches remain close at hand.",Politics
"Sturrock leaves Southampton Manager Paul Sturrock has left Southampton by mutual consent, becoming the first managerial victim of the season after only two Premiership games.",Sport
"Agnis suspect guidance tested Over a year after its induction in the Army, the Agni-II intermediate range missile was test-fired on Sunday to test its guidance system over a shorter range.",Politics
"Moscow suicide bombing death toll grows The death toll from a suicide bombing outside a Moscow subway station rose to 10 as a 20-year-old man succumbed to his injuries, Russian news agencies reported.",Politics
"Athens brings out best in Anju AUGUST 27: Say sorry to everybody, she said. No, we wont. Anju Bobby George owes India no apologies. On a night of magic but not quite miracle, Anju broke her own Indian long jump record by ",Sport
"Saved from the saw, ancient Japanese forests now threatened by tourism (AFP) AFP - A generation ago, a battle was successfully waged on this rugged island to preserve what was left of its primeval forests, home to giant trees millennia old. Now tourism spawned by this natural heritage is threatening its survival.",Politics
"Petrova Upsets Defending U.S. Open Champ (AP) AP - Justine Henin-Hardenne lost her U.S. Open title and her No. 1 ranking Monday night. The defending champion was upset by Nadia Petrova 6-3, 6-2 Monday night in the fourth round, the earliest the Open's top-seeded woman has lost since Billie Jean King went out in the third round in 1973.",Sport
Warring Afghan Factions Say Cease-fire Holding (Reuters) Reuters - A renegade Afghan militia commander and a\spokesman for the governor of the western province of Herat\said on Wednesday their forces were honoring a cease-fire\brokered a day earlier by the U.S. envoy to Afghanistan.,Politics
"Russian pupils held in armed siege An armed gang is holding at least 200 hostages,  many of them children, at a  school in south Russia.",Politics
"Residents Return to Darfur After Fleeing Attack  SANI DELAIBA, Sudan (Reuters) - ""Only God saved us when the  Janjaweed attacked. We had to walk to safety and 12 men were  killed,"" said Khultoum Eissa Abdallah, now back in her hometown  in Sudan's troubled Darfur region.",Politics
"Al-Zarqawi claims responsibility for Baghdad, Baqouba operations &lt;b&gt;...&lt;/b&gt; Some 74 Iraqis were killed in Iraq yesterday while other 154 were injured, most of them are victims of a booby trapped car explosion in Baghdad and an attack in Baqouba, Abu Mus #39;ab al-Zarqawi claimed responsibility for, fighting in al-Ramadi between the ",Politics
"Jury Selection to Begin in Kobe Bryant Rape Trial Jury selection begins in the Kobe Bryant rape case on Friday when hundreds of potential jurors fill out a questionnaire to help determine if they can sit in judgment in a trial involving race, sex and celebrity.",Sport
"Thousands Protest Gaza Evacuation Plan JERUSALEM - Tens of thousands of Jewish settlers and their backers demonstrated in Jerusalem on Sunday against Prime Minister Ariel Sharon's plan to evacuate all settlements from Gaza and four West Bank enclaves in a rally held against a backdrop of assassination threats and warnings of civil war.    The withdrawal plan has upset the Israeli political scene since it was announced last year, turning Sharon's backers into opponents and detractors into supporters...",Politics
"One dead after World Cup qualifier One man has died and seven have been injured in clashes between Greek and Albanian fans in Greece following the World Cup qualifier game played between the two countries in Tirana, police say.",Sport
"Today #39;s Home News Greek athlete Fani Halkia finished in 52.82 to win the gold medal in the women #39;s 400m hurdles final on Wednesday. She is the third Greek athlete to win Olympic gold in an athletics event, after Voula Patoulidou and Costas Kenteris.",Sport
Russian school attack offers difficult lessons to learn President Bush was quick to express solidarity with the Russian people last week after the terrorist attack on a Russian school that left more than 330 dead.,Politics
Bush-Yawar firm on Iraq poll date BAGHDAD: The presidents of Iraq and the United States pledged yesterday there would be no delay to landmark elections on January 30 despite a flare-up of violence that left about 100 dead in three days.,Politics
"A peace deal is reached in Najaf NAJAF, Iraq -- Iraq #39;s top Shi #39;ite cleric, Ayatollah Ali al-Husseini al-Sistani, made a dramatic return to Najaf on Thursday and won agreement from a rebel cleric and the government to end three weeks of fighting between his militia and US-Iraqi forces.",Politics
"Loss Hard to Defend Ravens Coach Brian Billick said the team needs to improve in all areas after a 27-26 loss to Cincinnati, in which they blew a 17-point.",Sport
"Yankees: Brown #39;s fire sometimes burns a little too hot The flushed toilet turned the already hot water into a scalding stream from the shower nozzle. Kevin Brown bellowed, then stormed out of the stall, picked up a baseball ",Sport
"Sudanese peace talks restart after rebel boycott as UN deadline expires (AFP) AFP - Sudanese peace talks restarted here at the end of a one-day boycott called by rebel groups in protest at alleged government attacks on civilians, and as a UN deadline for action on the Darfur crisis expired.",Politics
Diplomatic push on N Korea talks Intense diplomatic efforts are under way to persuade North Korea to give up its nuclear weapons programme.,Politics
"Lawsuit May Be In Works After Fan #39;s Nose Broken In Oakland OAKLAND, Calif. -- A lawsuit could be in the works after some Texas players were involved in a brawl with taunting fans in Oakland -- that led to the arrest of Rangers reliever Frank Francisco.",Sport
"Two blasts rock Jeddah RIYADH, Sept 11: Two explosions of mild intensity hit Jeddah on Saturday, on the third anniversary of the Sept-11 attacks on the World Trade Centre in New York and the Pentagon in Washington.",Politics
"SWEAT AND TEARS Devers, Radcliffe can #39;t finish; Kastor overjoyed &lt;b&gt;...&lt;/b&gt; Athens -- Two of the greatest female track and field athletes in history crashed and burned within two minutes of each other on a dramatic Sunday night of competition at the Olympic Games.",Sport
"Kerry Legal Team Member Is Issued Citation (AP) AP - A member of Democratic presidential candidate John Kerry's national legal team received a citation on accusations he solicited a prostitute, but the aide said it was the result of a misunderstanding.",Politics
White Sox Stop Mariners 7-5 (AP) AP - Juan Uribe homered and Roberto Alomar had a two-run double Friday night to lead the Chicago White Sox over the Seattle Mariners 7-5.,Sport
Mugabe claims Blair trying to oust him Zimbabwean President Robert Mugabe has vowed he will never retreat in the face of what he calls British and US government attempts to oust him.,Politics
"Dashing performances ATHENS -- We'll have to wait until the lab reports come back. This is the modern era of track and field after all, when it can take four years for Olympic results to become final (right, Jerome Young?). But when the last baton crossed the line here last night, the US team had turned in a heck of a meet, ...",Sport
Hoops Team Rebounds The Americans survive a poor shooting night to beat Greece 77-71 at the men's Olympic basketball tournament on Tuesday.,Sport
"Virginia grinds down UNC CHARLOTTESVILLE, Va. -- Wali Lundy scored three touchdowns and Marquis Weeks returned a kickoff 100 yards against North Carolina for the second time in three years to give No. 15 Virginia a 56-24 victory yesterday.",Sport
"McKenzie back in Green Bay GREEN BAY, Wis. - Cornerback Mike McKenzie returned to the Green Bay Packers yesterday after holding out throughout training camp and missing the season opener.",Sport
"Kasthari makes himself known Digital technology has now replaced the old photo-finish cameras at Britain #39;s racecourses, but still there are times when even a computer cannot help.",Sport
"Greenspan Cautions on Baby Boomer Benefits JACKSON, Wyo. - Federal Reserve Chairman Alan Greenspan said Friday that the country will face ""abrupt and painful"" choices if Congress does not move quickly to trim the Social Security and Medicare benefits that have been promised to the baby boom generation...",Politics
"South Korea admits nuclear experiment in early 1980s (AFP) AFP - South Korea admitted that its scientists extracted a small amount of plutonium, a key ingredient for making nuclear bombs, in secret research in the early 1980s.",Politics
"Russia Ready to Strike Against 'Terror' Worldwide  BESLAN, Russia (Reuters) - Russia's top general threatened  Wednesday to attack ""terrorist bases"" anywhere in the world, as  security services put a \$10 million bounty on two Chechen  rebels they blame for last week's school siege.",Politics
Teenager Killed in Resort Blast One person died and another was seriously injured in an explosion at a Mediterranean resort city popular with British holidaymakers.,Politics
"North Korea Urges Refugees to Return to 'Warm Home' (Reuters) Reuters - North Korea appealed to refugees who have\sought asylum in the South to return to the impoverished state,\avoiding for once labeling them ""human scum"" and saying a warm\home awaits them.",Politics
"Putin Says Russia Faces Full  #39;War #39; to Divide Nation In a rare address to his nation at a time of grave crisis, President Vladimir V. Putin said Saturday that the school siege the southern city of Beslan was an attack on ",Politics
"Bonds hits No. 699; Giants gain wild card lead Phoenix, AZ (Sports Network) - Barry Bonds hit career home run No. 699, Jason Schmidt tossed a complete game to pick up a win for the first time in five starts, and San Francisco grabbed solo possession of ",Sport
"Video Music Awards Sizzling but Shock Free MIAMI - Holding its festivities for the first time in the city of skin, Sunday's MTV Video Music Awards was sizzling, energetic and colorful - yet tame, by MTV standards.    There were no wardrobe malfunctions (sorry TiVo)...",Politics
"Northeastern Conference BEVERLY Coach: Dan Bauer (second year). Last year's record: 4-7. Returning starters (7): Nate Boynton, OT/DT, 6-3, 290, Sr.; Armando Cuko, kicker/punter, 5-11, 180, Sr.; Justin Fisher, OL/DL, 5-9, 230, Sr.; Dan Abate, WR/DB, 5-8, 165, Sr.; Travis Anderson, WR/DB, 5-8, 175, Sr.; Chris Kruczynski, OL/DL, 6-1, 240, Sr.; Jason Comeau, C/DL, 6-0, 215, Sr. Returning lettermen: Nick Abraham, RB/LB, ...",Sport
"Phelps to Forgo Final Race of Olympics ATHENS, Greece - Michael Phelps is done for the Olympics. Shortly after winning his fifth gold medal and seventh overall, Phelps told U.S...",Politics
"Despite Setbacks, Stahl Maintains Healthy Dose of Optimism At 23, pitcher Richard Stahl knows there's still time to impress the Baltimore Orioles' front office. He just needs to stay on the mound long enough.",Sport
"Guantanamo detainee visits with parents An Australian detainee being arraigned Wednesday before a US military commission on charges of attempted murder and aiding al Qaeda met with his parents, their first visit together in five years.",Politics
French reporters vanish in Iraq Paris confirms two French journalists are missing in Iraq as concern grows for the safety of an Italian.,Politics
Kerry comrade breaks war silence A US officer who fought alongside presidential candidate John Kerry in  Vietnam condemns his critics.,Politics
"Jets ink Pennington to extension The New York Jets on Wednesday announced they have signed quarterback Chad Pennington to a contract extension. Pennington current contract expires after the 2004 season, and the Jets didn #39;t want to wait until ",Sport
"Singh Leads, but Leonard Is Following Avoiding the late trouble that knocked other contenders off track, Vijay Singh held a one-stroke lead over Justin Leonard heading into the final round of the P.G.A. Championship.",Sport
"Griffin, Broncos on the run again Quentin Griffin took off the middle, broke left to daylight and juked past a defender before racing into the end zone.",Sport
Venezuelans Vote Early in Referendum on Chavez Rule (Reuters) Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years.,Politics
"Sri Lanka should be easy pickings Modest mission accomplished against Zimbabwe, England are through to what is in effect a quarter-final against Sri Lanka at the Rose Bowl on Friday.",Sport
List of Foreigners Taken Hostage in Iraq (AP) AP - Insurgents in Iraq have kidnapped dozens of people in their campaign to drive out coalition forces and hamper reconstruction:,Politics
"PGA Player of the Year Singh ready for more in  #39;05 Vijay Singh, who took more than 20 years to get to the top of his profession, culminated his career year Monday when he was named 2004 Player of the Year on the PGA Tour.",Sport
"White Sox Top Seattle 6-2, 3rd Win in Row (AP) AP - Joe Borchard and Paul Konerko each hit two-run homers to back a strong outing by Felix Diaz and the Chicago White Sox won their third straight with a 6-2 victory over the Seattle Mariners on Sunday.",Sport
Rob White aims for a zero defect finish to the season The Viry technical director is aiming for perfect reliability through to the final race of the year. Beginning this weekend in Monza.,Sport
Confusion over alleged capture of Hussein ally Baghdad - Iraqi authorities struggled on Monday to clear up confusion over whether the most wanted member of Saddam Hussein #39;s ousted dictatorship had been nabbed in a shootout north of Baghdad.,Politics
"Giants 8, Brewers 1 Barry Bonds barely missed his 700th homer, but JT Snow connected following yet another walk to the San Francisco slugger and the Giants beat the Milwaukee Brewers 8-1 behind Brett Tomko #39;s four-hitter Wednesday night.",Sport
Real dream team nails three-peat Maybe this is the end of an era. Dawn Staley has called it quits as an Olympic player. Lisa Leslie and Sheryl Swoopes can #39;t imagine playing without her.,Sport
"Iraq findings: Plans, but no stockpiles  WASHINGTON -- The draft of a report from the top US inspector in Iraq concludes that Saddam Hussein had no weapons stockpiles, but there were signs of dormant programs he hoped to revive at a later time, according to people familiar with the findings.",Politics
"Chargers Sign Rookie Quarterback Rivers (AP) AP - Rookie quarterback Phillip Rivers ended his lengthy holdout, signing a six-year contract with the San Diego Chargers on Monday night.",Sport
AL Wrap: Damon Lifts Red Sox Nearer to Yankees Johnny Damon drove in the winning run with a bloop single in the top of the ninth inning as the Boston Red Sox rallied to edge the New York Yankees 3-2 in an American League East showdown at Yankee Stadium on Friday.,Sport
Standoff bolstered Sadr's support Interviews with Iraqi Shiite clerics reveal that moderates are increasingly supporting Sadr's anti-US campaign.,Politics
"'Hawaii Five-0' May Become a Movie HONOLULU - Warner Bros. reportedly intends to make a film based on the old ""Hawaii Five-0"" TV series...",Politics
"Great Britain wins gold again in track cycling Athens, Greece (Sports Network) - For the second straight day a Briton captured gold at the Olympic Velodrome. Bradley Wiggins won the men #39;s individual 4,000-meter pursuit Saturday, one day after teammate ",Sport
"Bryant Case Could Chill Rape Reports (AP) AP - In the 1970s, rape crisis counselors celebrated when states began to pass laws designed to stop lawyers from discrediting victims with salacious details about their sex lives.",Sport
New Orleans Quarterback Aaron Brooks Tweaks Strained Right Thigh in Game Against Green Bay (AP) AP - New Orleans quarterback Aaron Brooks tweaked his strained right thigh and hobbled off the field in the second quarter of the Saints' game against the Green Bay Packers on Saturday night.,Sport
"OLYMPICS: Former USC athlete takes silver in Men #39;s 100-meter &lt;b&gt;...&lt;/b&gt; Liu Xiang of China tied the 100-meter hurdles world record and set a new Olympic mark Friday, winning the gold medal in 12.91 seconds.",Sport
"Taiwan Issues Typhoon Warning, Markets to Close  TAIPEI, Taiwan (Reuters) - Taiwan issued a typhoon warning,  predicting possible flash floods and landslides, and said  financial markets, schools and businesses in the capital would  be closed Tuesday as a result.",Politics
"Hamilton Wins Olympic Time Trial Tyler Hamilton (United States) is the Olympic time trial champion. The man from Marblehead, who crashed out of the 2004 Tour de France, rode away his disappointment by drawing away from defending champion Vyatcheslav Ekimov (Russia) in ...",Sport
Chelsea march on as United falter (AFP) AFP - Chelsea recovered from the shock of going a goal down after only 12 seconds to beat Southampton 2-1 and extend their winning start to the season to four matches.,Politics
"It's no tossup, nod goes to Brady Who's better, Tom Brady or Peyton Manning? That was one question prior to last night's game between the Patriots and Colts at Gillette Stadium. The proof was provided on the field, and Brady was the answer.",Sport
"Andres the giants of US boxing team ATHENS - Calling all Andres. Maybe that #39;s what #39;s wrong with the US boxing team. Not enough Andres. Only two US boxers reached today #39;s medal round, middleweight Andre Dirrell and light heavyweight Andre Ward.",Sport
"Victorious on Gun Ban, NRA Looks Toward Elections (Reuters) Reuters - With its battle to kill the\decade-long U.S. ban on assault weapons won, the National Rifle\Association is now setting its sights on the Nov. 2\presidential and congressional elections.",Politics
"Iraqis try to lift town #39;s siege TALL AFAR, Sept 11: Hundreds of Iraqis left the trouble spot of Tall Afar, as regional heavyweights initiated contacts with the government on Saturday in a bid to end a US-led operation that has killed at least 50 people.",Politics
"NASA to Announce New Class of Planets Astronomers have discovered four new planets in a week's time, an exciting end-of-summer flurry that signals a sharper era in the hunt for new worlds.    While none of these new bodies would be mistaken as Earth's twin, some appear to be noticeably smaller and more solid - more like Earth and Mars - than the gargantuan, gaseous giants identified before...",Politics
"USA has the stuff bad dreams are made of The United States basketball team didn #39;t just lose to Argentina and, with it, a chance to play for the Olympic gold medal. The high-priced roster of NBA players might have lost something even more precious than that: the world #39;s respect.",Sport
"Gold has nice ring to it Andre Ward was the last man standing for the US Olympics boxing team Friday night. Booed by a hostile crowd, confused about the score, running on fumes in the ",Sport
"Roddick's Comeback Falls Short Fighting power with power Thursday night, Joachim Johansson ended Andy Roddick's bid to repeat as United States Open champion.",Sport
"Swimming: Phelps Wins Fifth Gold, Seventh Medal  ATHENS (Reuters) - Michael Phelps clinched his fifth gold  medal and became the first man since Mark Spitz to hold four  individual Olympic swimming titles when he won the 100 meter  butterfly final Friday.",Sport
"US embassy in Malaysia shuts indefinitely amid security threat (AFP) AFP - The US embassy in Malaysia was shut indefinitely after it received a letter containing a suspicious powdery substance, its second security scare in two weeks.",Politics
Sudan: Annan calls for expanded international presence to stop &lt;b&gt;...&lt;/b&gt; 3 September 2004 - Secretary-General Kofi Annan says the international presence in Sudan #39;s war-torn Darfur region must be expanded as soon as possible because attacks against civilians are continuing and  quot;the vast majority of militias quot; have not been ,Politics
French journalists kidnapped in Iraq over headscarf ban An Iraqi militant group has kidnapped two Frenchmen and given the French government 48 hours to end a ban on Muslim headscarves. Arabic television station Al Jazeera has shown a brief video showing two men ,Politics
"Kabul tense after truck bombing of US security firm kills seven KABUL : A heavy security clampdown was enforced in the Afghan capital after the bombing of a US firm left at least seven dead and 28 wounded, and raised new fears about security just weeks before elections.",Politics
"Thousands congratulate Lahoud BEIRUT: Tens of thousands of people flocked to Baabda Presidential Palace Sunday, in a huge and popular show of support for President Emile Lahoud over his three-year mandate extension that was decided by Parliament on Friday.",Politics
"Iraqis risk death to bury the dead Fighting between the US and Sadr #39;s militia continued Monday, but families still arrive in Najaf for burials. By Scott Baldauf  Staff writer of The Christian Science Monitor.",Politics
"Charley Damage Estimated at \$11 Billion PUNTA GORDA, Fla. - As Florida residents began sweeping up the wreckage left behind by Hurricane Charley, officials on Sunday estimated damages as high as \$11 billion for insured homes alone...",Politics
"Who are Ch #225;vez's opponents? On Sunday, Venezuelans will decide whether to cut short the president's term, which is due to end in 2006.",Politics
Former UConn Aide Pleads in Sex Case (AP) AP - The Connecticut assistant men's basketball coach who resigned after being arrested in a prostitution sting agreed Monday to perform 10 days of community service and undergo counseling.,Sport
"Midfield Now Strength Not so long ago, D.C. United was throwing inexperienced players into the starting lineup and calling up minor leaguers to fill the roster.",Sport
"Outside camp walls, life still treacherous for Darfur refugees Despite government claims, insecurity remains in western Sudan.",Politics
"Russian Hostage-Takers Free 26 Children, Women  BESLAN, Russia (Reuters) - President Vladimir Putin vowed  Thursday to do all he could to save hundreds of children,  parents and teachers held under threat of death by gunmen for a  second day at a Russian school near rebel Chechnya.",Politics
"Blue Jays hope to go places with Gibbons From Montana to Maine, Puerto Rico to Canada, John Gibbons tagged along wherever the military deemed his father should live. The constant travel gave him a taste of the nomadic life of a baseball manager, his future profession. It also gave him an accent all his own, a Texas twang inflected with tinges of New England.",Sport
Yankees Unlikely to Get D-Rays Forfeit (AP) AP - The New York Yankees asked the commissioner's office to award them a forfeit over the Tampa Bay Devil Rays after they failed to arrive in time Monday because of travel problems due to Hurricane Frances. It was a request that had no chance of being granted.,Sport
"Players get a chance to beat Tiger Woods at his own game Tiger Woods is faltering on the PGA Tour these days, while Vijay Singh has taken over the No. 1 ranking in the world. If only Woods could play like his video game character in  quot;Tiger Woods PGA Tour 2005.",Sport
"Putin Urges Strength; School Toll Tops 340 (AP) AP - A shaken President Vladimir Putin made a rare and candid admission of Russian weakness Saturday in the face of an ""all-out war"" by terrorists after more than 340 people  #151; nearly half of them children  #151; were killed in a hostage-taking at a southern school.",Politics
Football: US-Jamaica CONCACAF Semifinal Qualifier Ends in Draw Second-half substitute Brian Ching scored the first goal of his international career in the 89th minute to give the United States national soccer team a 1-1 come-from-behind draw against Jamaica in Kingston. ,Sport
"Canadian Golf Star Moe Norman, 75, Dies (AP) AP - Moe Norman, the eccentric Canadian golf star whose amazingly accurate swing dazzled tour stars for many years, died Saturday. He was 75.",Sport
"Several Killed in Israeli Bus Bombings JERUSALEM - Two buses exploded in southern Israel on Tuesday, killing several people and wounding many others, Israeli rescue officials said, in what appeared to be the first suicide bombing inside Israel in nearly six months.    Police reported a third blast, but no further details were immediately available...",Politics
"Heatley's Arraignment Waived  ATLANTA (Sports Network) - Atlanta Thrashers right wing  Dany Heatley, who is charged with vehicular homicide and five  other counts in the 2003 car crash that killed teammate Dan  Snyder, had his Wednesday arraignment waived by a judge.",Sport
"DiFelice reports; Cubs recall Dubois, Wuertz, Mitre and Murray Catcher Mike DiFelice reported to the Chicago Cubs on Monday, six days after being acquired from the Detroit Tigers. DiFelice, who hit .",Sport
"HOSTAGE TALKS: France hopes anti-American stance will help PARIS - As France awaited word on two journalists being held hostage in Iraq, officials made clear that they expected to benefit from their stand against the US-led invasion and occupation.",Politics
"Livni: Settlement blocs will be strengthened The Housing and Construction Ministry on Tuesday published tenders for about 1,001 new housing units in West Bank settlements. ",Politics
Ex-colleague backs Scrafton on PM #39;s call A FORMER senior Defence Department bureaucrat last night backed her former colleague Michael Scrafton #39;s version of a phone call with John Howard over the children overboard affair. ,Politics
"Japan executes child killer A man convicted of murdering eight children in a frenzied knife attack at a primary school three years ago was hanged in Osaka yesterday, in Japan #39;s first execution for a year.",Politics
"Egypt wants permanent seat on UN Security Council CAIRO - Egypt #39;s regional and international clout qualify it for a permanent seat on an expanded UN Security Council, Egyptian Foreign Minister Ahmed Aboul Gheit said on Saturday.",Politics
"Aggression Pays Off for Buick Leader Funk  CROMWELL, Connecticut (Reuters) - PGA Tour veteran Fred  Funk's positive approach paid dividends when he carded a  one-under-par 69 to move one stroke clear of the field after  the third round of the \$4.2 million Buick Championship  Saturday.",Sport
"World No. 1 Vijay Singh tears up front nine, shoots 28 at Bell &lt;b&gt;...&lt;/b&gt; OAKVILLE, Ont. (CP) - Vijay Singh made history at Glen Abbey on Friday, shooting 28 on the front nine to post the lowest nine-hole score in the 100-year-old history of the Bell Canadian Open.",Sport
"Cowboys Put Darren Woodson on PUP List (AP) AP - The Dallas Cowboys put safety Darren Woodson on the physically unable to perform list Friday, meaning he'll miss at least the first five games of the season.",Sport
Last Chance for N.Irish Deal as Fresh Talks Open  BELFAST (Reuters) - Talks billed as the last chance to save  Northern Ireland's 1998 Good Friday peace agreement began on  Wednesday with the end of the IRA guerrilla group as one of  their prime aims.,Politics
"Nevin cleans up In losing 20 of 38 games, including six of eight to start this month, the Padres blew several chances to keep the Los Angeles Dodgers close to them going into a September showdown between the two.",Sport
Iraqi Cleric Sadr Renounces Control Of Shrine Stronghold Rebel cleric Moqtada Sadr on Friday renounced control of his shrine stronghold to Iraq #39;s top Shiite cleric following a deal with Grand Ayatollah Ali al-Sistani to end three weeks of fighting in Najaf.,Politics
"Al Qaeda behind Kabul bombing A statement purported to be from al-Qaeda claimed responsibility today for a truck bomb which killed seven people, including two US citizens, in Kabul, and which was earlier claimed by the Taliban militia.",Politics
"Palestinian Prisoners End Hunger Strike  GAZA (Reuters) - Palestinian prisoners in Israeli jails  Thursday have effectively ended an 18-day-old hunger strike  after most of their demands for better conditions were met, a  Palestinian cabinet minister said.",Politics
Pranab Mukherjee congratulates Rathore Union Defence Minister Pranab Mukherjee on Tuesday congratulated double trap shooter Major Rajyavardhan Singh Rathore on becoming the first Indian to win a silver medal in an individual event at the Olympics. ,Sport
"Patterson eases Cubs by Phillies Corey Patterson hit a two-out, two-run homer in the bottom of the ninth inning yesterday to give the Cubs a 4-2 win over Milwaukee, host Chicago's eighth victory in 11 games.",Sport
"Cardinals Move Closer to Division Title (AP) AP - Jim Edmonds' sacrifice fly snapped an eighth-inning tie and Matt Morris bounced back from one of his worst starts of the season, bringing the St. Louis Cardinals one step closer to the NL Central championship with a 4-2 victory over the Houston Astros on Wednesday night.",Sport
Green's Slam Lifts L.A. Shawn Green connects on a grand slam and a solo homer to lead the Los Angeles Dodgers past the Atlanta Braves 7-4 on Saturday.,Sport
"Medal mania: Canada picks up gold, silver and bronze on the water at the Games (Canadian Press) Canadian Press - ATHENS (CP) - Canada had its biggest one-day medal haul at the Athens Olympics on Saturday, picking up a medal of every colour on the eve of the Games finale.",Politics
"Brunei to reinstate parliament after 20 years As part of political reforms, the Sultan of Brunei, Hassanal Bolkiah has said that he would reopen its parliament after it was suspended 20 years ago.",Politics
"When it comes to Israel... At first glance it was just another prosaic headline.  quot; #39;Militants #39; prevent resumption of work in the seaports, quot; Haaretz said. ",Politics
Soccer: Big teams off to winning start in Champions League Coach Jose Mourinho began his quest for a second successive title in the best way possible when his Chelsea side beat Paris St Germain 3-0 in their opening group H match yesterday.,Sport
"Bomb Blasts Hit Kathmandu, as Rebel Blockade Continues The Nepalese capital, Kathmandu, has been hit by bomb blasts on the third day of a blockade called by Maoist rebels. Nepalese business leaders are calling for a cease-fire between the government and the rebels. ",Politics
"Accepting the silver would make Hamm golden HE PULLED OFF an amazing feat at the Olympics last week, overcoming a stumble to become the first US man to win the gymnastics all-around gold medal.",Sport
"Australia  #39;Lethal #39; Missile Plans Ruffle Feathers Australia is moving toward having the region #39;s most advanced missile strike capability, but the plan has prompted concerns in a region where the country ",Politics
"Quake, gale kill two in Bali, N. Sumatra An earthquake killed one person and injured two others on Wednesday on the resort island of Bali, while a gale that swept through several parts of the country claimed one life and damaged hundreds of houses in North Sumatra.",Politics
Senate Panel Votes to Raise AIDS Funding (AP) AP - A Senate committee voted Wednesday to boost funds for battling AIDS and other diseases in poor nations but provided less than half what President Bush wanted for prodding countries to adopt democratic reforms.,Politics
"Braves Edge Dodgers 6-5 (AP) AP - Johnny Estrada homered, drove in three runs and started Atlanta's go-ahead rally in the ninth inning, and the Braves beat Eric Gagne and the Los Angeles Dodgers 6-5 Thursday night.",Sport
"Delay in Releasing the French The optimism that Paris expressed, at the end of last week, concerning releasing the kidnapped French journalists Chesnot and Malbrunot in Iraq, turned into caution at the beginning of this week.",Politics
